Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Jan 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  752.47, -8.9%,  5.5%,100.0
Feb 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  760.92,  1.1%,  0.3%,101.1
Mar 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  747.85, -1.7%,  4.5%, 99.4
Apr 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  772.53,  3.3%,  4.3%,102.7
May 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  768.78, -0.5%, -0.7%,102.2
Jun 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  787.78,  2.5%, -3.5%,104.7
Jul 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  767.56, -2.6%,  0.8%,102.0
Aug 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  745.54, -2.9%, -0.8%, 99.1
Sep 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  740.31, -0.7%, -0.4%, 98.4
Oct 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  742.96,  0.4%, -3.3%, 98.7
Nov 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  771.07,  3.8%,  1.3%,102.5
Dec 2011,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  793.98,  3.0%, -3.9%,105.5
Jan 2012,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  747.86, -5.8%, -0.6%, 99.4
Feb 2012,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  754.68,  0.9%, -0.8%,100.3
Mar 2012,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  757.61,  0.4%,  1.3%,100.7
Apr 2012,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  768.10,  1.4%, -0.6%,102.1
May 2012,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  775.42,  1.0%,  0.9%,103.0
Jun 2012,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  751.42, -3.1%, -4.6%, 99.9
Jul 2012,Nova Scotia,Average weekly earnings including overtime for all employees,Health care and social assistance,$  758.95,  1.0%, -1.1%,100.9
