Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Jan 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,664.20",  2.9%, -0.5%,100.0
Feb 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,819.83",  9.4%, 12.7%,109.4
Mar 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,758.16", -3.4%, 11.0%,105.6
Apr 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,650.71", -6.1%, -5.9%, 99.2
May 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,696.93",  2.8%,  1.1%,102.0
Jun 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,701.75",  0.3%,  4.5%,102.3
Jul 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,681.69", -1.2%, -0.4%,101.1
Aug 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,743.29",  3.7%,  7.6%,104.8
Sep 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,771.91",  1.6%,  4.9%,106.5
Oct 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,741.76", -1.7%,  2.1%,104.7
Nov 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,779.44",  2.2%,  9.1%,106.9
Dec 2011,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,817.53",  2.1%, 12.3%,109.2
Jan 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,776.63", -2.3%,  6.8%,106.8
Feb 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,849.36",  4.1%,  1.6%,111.1
Mar 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,843.52", -0.3%,  4.9%,110.8
Apr 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,795.11", -2.6%,  8.7%,107.9
May 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,741.62", -3.0%,  2.6%,104.7
Jun 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,873.68",  7.6%, 10.1%,112.6
Jul 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,886.69",  0.7%, 12.2%,113.4
Aug 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,973.95",  4.6%, 13.2%,118.6
Sep 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,009.22",  1.8%, 13.4%,120.7
Oct 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,931.98", -3.8%, 10.9%,116.1
Nov 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,817.71", -5.9%,  2.2%,109.2
Dec 2012,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,918.61",  5.6%,  5.6%,115.3
Jan 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,889.34", -1.5%,  6.3%,113.5
Feb 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,864.59", -1.3%,  0.8%,112.0
Mar 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,851.78", -0.7%,  0.4%,111.3
Apr 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,015.94",  8.9%, 12.3%,121.1
May 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,976.88", -1.9%, 13.5%,118.8
Jun 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,047.86",  3.6%,  9.3%,123.1
Jul 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,042.14", -0.3%,  8.2%,122.7
Aug 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,966.58", -3.7%, -0.4%,118.2
Sep 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,891.77", -3.8%, -5.8%,113.7
Oct 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,013.58",  6.4%,  4.2%,121.0
Nov 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,059.35",  2.3%, 13.3%,123.7
Dec 2013,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,983.39", -3.7%,  3.4%,119.2
Jan 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,992.29",  0.4%,  5.4%,119.7
Feb 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,920.74", -3.6%,  3.0%,115.4
Mar 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,142.04", 11.5%, 15.7%,128.7
Apr 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,057.56", -3.9%,  2.1%,123.6
May 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,117.32",  2.9%,  7.1%,127.2
Jun 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,073.67", -2.1%,  1.3%,124.6
Jul 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,019.24", -2.6%, -1.1%,121.3
Aug 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,135.81",  5.8%,  8.6%,128.3
Sep 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,111.29", -1.1%, 11.6%,126.9
Oct 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,145.20",  1.6%,  6.5%,128.9
Nov 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,188.79",  2.0%,  6.3%,131.5
Dec 2014,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,157.40", -1.4%,  8.8%,129.6
Jan 2015,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,160.92",  0.2%,  8.5%,129.8
Feb 2015,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,227.32",  3.1%, 16.0%,133.8
Mar 2015,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,158.45", -3.1%,  0.8%,129.7
Apr 2015,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,124.57", -1.6%,  3.3%,127.7
May 2015,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,174.90",  2.4%,  2.7%,130.7
Jun 2015,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,074.95", -4.6%,  0.1%,124.7
