Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Jan 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,312.95",  5.0%,  3.7%,100.0
Feb 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,272.46", -3.1%,  3.1%, 96.9
Mar 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,204.82", -5.3%, -7.7%, 91.8
Apr 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,272.79",  5.6%,  0.8%, 96.9
May 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,340.67",  5.3%,  7.8%,102.1
Jun 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,305.61", -2.6%,  1.2%, 99.4
Jul 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,387.69",  6.3%,  6.5%,105.7
Aug 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,339.56", -3.5%, -2.6%,102.0
Sep 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,411.78",  5.4%,  2.0%,107.5
Oct 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,486.16",  5.3%, 10.4%,113.2
Nov 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,426.28", -4.0%,  3.3%,108.6
Dec 2011,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,492.29",  4.6%, 19.3%,113.7
Jan 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,491.70",  0.0%, 13.6%,113.6
Feb 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,471.34", -1.4%, 15.6%,112.1
Mar 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,653.22", 12.4%, 37.2%,125.9
Apr 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,666.48",  0.8%, 30.9%,126.9
May 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,649.62", -1.0%, 23.0%,125.6
Jun 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,659.52",  0.6%, 27.1%,126.4
Jul 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,601.64", -3.5%, 15.4%,122.0
Aug 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,571.73", -1.9%, 17.3%,119.7
Sep 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,518.78", -3.4%,  7.6%,115.7
Oct 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,526.99",  0.5%,  2.7%,116.3
Nov 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,424.00", -6.7%, -0.2%,108.5
Dec 2012,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,419.08", -0.3%, -4.9%,108.1
Jan 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,347.51", -5.0%, -9.7%,102.6
Feb 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,434.52",  6.5%, -2.5%,109.3
Mar 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,399.16", -2.5%,-15.4%,106.6
Apr 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,431.90",  2.3%,-14.1%,109.1
May 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,409.58", -1.6%,-14.6%,107.4
Jun 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,544.65",  9.6%, -6.9%,117.6
Jul 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,567.26",  1.5%, -2.1%,119.4
Aug 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,505.08", -4.0%, -4.2%,114.6
Sep 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,515.14",  0.7%, -0.2%,115.4
Oct 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,511.59", -0.2%, -1.0%,115.1
Nov 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,601.08",  5.9%, 12.4%,121.9
Dec 2013,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,656.32",  3.5%, 16.7%,126.2
Jan 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,557.28", -6.0%, 15.6%,118.6
Feb 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,590.63",  2.1%, 10.9%,121.1
Mar 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,631.90",  2.6%, 16.6%,124.3
Apr 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,611.55", -1.2%, 12.5%,122.7
