Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
May 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,755.69",  8.9%, 24.6%,133.7
Jun 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,759.62",  0.2%, 13.9%,134.0
Jul 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,588.69", -9.7%,  1.4%,121.0
Aug 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,712.58",  7.8%, 13.8%,130.4
Sep 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,753.20",  2.4%, 15.7%,133.5
Oct 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,662.51", -5.2%, 10.0%,126.6
Nov 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,677.73",  0.9%,  4.8%,127.8
Dec 2014,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,640.41", -2.2%, -1.0%,124.9
Jan 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,579.99", -3.7%,  1.5%,120.3
Feb 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,552.09", -1.8%, -2.4%,118.2
Mar 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,564.72",  0.8%, -4.1%,119.2
Apr 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,560.83", -0.2%, -3.1%,118.9
May 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,543.96", -1.1%,-12.1%,117.6
Jun 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,577.69",  2.2%,-10.3%,120.2
Jul 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,518.61", -3.7%, -4.4%,115.7
Aug 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,468.04", -3.3%,-14.3%,111.8
Sep 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,402.44", -4.5%,-20.0%,106.8
Oct 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,498.14",  6.8%, -9.9%,114.1
Nov 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,475.05", -1.5%,-12.1%,112.3
Dec 2015,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,532.75",  3.9%, -6.6%,116.7
Jan 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,576.30",  2.8%, -0.2%,120.1
Feb 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,578.78",  0.2%,  1.7%,120.2
Mar 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,532.62", -2.9%, -2.1%,116.7
Apr 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,478.04", -3.6%, -5.3%,112.6
May 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,515.81",  2.6%, -1.8%,115.5
Jun 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,369.88", -9.6%,-13.2%,104.3
Jul 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,558.24", 13.8%,  2.6%,118.7
Aug 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,472.81", -5.5%,  0.3%,112.2
Sep 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,585.53",  7.7%, 13.1%,120.8
Oct 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,539.49", -2.9%,  2.8%,117.3
Nov 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,572.63",  2.2%,  6.6%,119.8
Dec 2016,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,397.36",-11.1%, -8.8%,106.4
Jan 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,537.76", 10.0%, -2.4%,117.1
Feb 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,492.26", -3.0%, -5.5%,113.7
Mar 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,603.41",  7.4%,  4.6%,122.1
Apr 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,516.22", -5.4%,  2.6%,115.5
May 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,571.56",  3.6%,  3.7%,119.7
Jun 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,502.72", -4.4%,  9.7%,114.5
Jul 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,571.95",  4.6%,  0.9%,119.7
Aug 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,642.94",  4.5%, 11.6%,125.1
Sep 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,580.84", -3.8%, -0.3%,120.4
Oct 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,544.98", -2.3%,  0.4%,117.7
Nov 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,599.79",  3.5%,  1.7%,121.8
Dec 2017,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,746.47",  9.2%, 25.0%,133.0
Jan 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,683.68", -3.6%,  9.5%,128.2
Feb 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,704.88",  1.3%, 14.2%,129.9
Mar 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,656.25", -2.9%,  3.3%,126.1
Apr 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,631.25", -1.5%,  7.6%,124.2
May 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,528.41", -6.3%, -2.7%,116.4
Jun 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,711.00", 11.9%, 13.9%,130.3
Jul 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,695.67", -0.9%,  7.9%,129.1
Aug 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,712.61",  1.0%,  4.2%,130.4
Sep 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,798.28",  5.0%, 13.8%,137.0
Oct 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,819.79",  1.2%, 17.8%,138.6
Nov 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,705.13", -6.3%,  6.6%,129.9
Dec 2018,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,693.15", -0.7%, -3.1%,129.0
Jan 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,786.09",  5.5%,  6.1%,136.0
Feb 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,864.48",  4.4%,  9.4%,142.0
Mar 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,648.06",-11.6%, -0.5%,125.5
Apr 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,974.12", 19.8%, 21.0%,150.4
May 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,819.10", -7.9%, 19.0%,138.6
Jun 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,786.25", -1.8%,  4.4%,136.0
Jul 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,785.06", -0.1%,  5.3%,136.0
Aug 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,746.04", -2.2%,  2.0%,133.0
Sep 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,733.66", -0.7%, -3.6%,132.0
Oct 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,744.46",  0.6%, -4.1%,132.9
Nov 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,700.67", -2.5%, -0.3%,129.5
Dec 2019,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,772.37",  4.2%,  4.7%,135.0
Jan 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,196.75", 23.9%, 23.0%,167.3
Feb 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,839.07",-16.3%, -1.4%,140.1
Mar 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,851.35",  0.7%, 12.3%,141.0
Apr 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,801.98", -2.7%, -8.7%,137.2
May 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,676.50", -7.0%, -7.8%,127.7
Jun 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,925.32", 14.8%,  7.8%,146.6
Jul 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,659.72",-13.8%, -7.0%,126.4
Aug 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,747.55",  5.3%,  0.1%,133.1
Sep 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,716.59", -1.8%, -1.0%,130.7
Oct 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,759.23",  2.5%,  0.8%,134.0
Nov 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,793.55",  2.0%,  5.5%,136.6
Dec 2020,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,757.02", -2.0%, -0.9%,133.8
Jan 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,748.15", -0.5%,-20.4%,133.1
Feb 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,777.21",  1.7%, -3.4%,135.4
Mar 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,768.25", -0.5%, -4.5%,134.7
Apr 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,687.36", -4.6%, -6.4%,128.5
May 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,765.88",  4.7%,  5.3%,134.5
Jun 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,799.36",  1.9%, -6.5%,137.0
Jul 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,843.54",  2.5%, 11.1%,140.4
Aug 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,866.36",  1.2%,  6.8%,142.2
Sep 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,855.07", -0.6%,  8.1%,141.3
Oct 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,774.99", -4.3%,  0.9%,135.2
Nov 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,885.39",  6.2%,  5.1%,143.6
Dec 2021,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,811.26", -3.9%,  3.1%,138.0
Jan 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,885.25",  4.1%,  7.8%,143.6
Feb 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,776.03", -5.8%, -0.1%,135.3
Mar 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,769.06", -0.4%,  0.0%,134.7
Apr 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,872.60",  5.9%, 11.0%,142.6
May 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,920.87",  2.6%,  8.8%,146.3
Jun 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,899.20", -1.1%,  5.5%,144.7
Jul 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,970.50",  3.8%,  6.9%,150.1
Aug 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,941.63", -1.5%,  4.0%,147.9
Sep 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,923.34", -0.9%,  3.7%,146.5
Oct 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,018.16",  4.9%, 13.7%,153.7
Nov 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,925.19", -4.6%,  2.1%,146.6
Dec 2022,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,013.03",  4.6%, 11.1%,153.3
Jan 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,924.20", -4.4%,  2.1%,146.6
Feb 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,963.42",  2.0%, 10.6%,149.5
Mar 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,030.09",  3.4%, 14.8%,154.6
Apr 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,027.06", -0.1%,  8.2%,154.4
May 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,167.66",  6.9%, 12.8%,165.1
Jun 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,064.07", -4.8%,  8.7%,157.2
Jul 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,967.72", -4.7%, -0.1%,149.9
Aug 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,975.40",  0.4%,  1.7%,150.5
Sep 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,976.23",  0.0%,  2.7%,150.5
Oct 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,993.08",  0.9%, -1.2%,151.8
Nov 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,051.33",  2.9%,  6.6%,156.2
Dec 2023,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,043.16", -0.4%,  1.5%,155.6
Jan 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,952.09", -4.5%,  1.4%,148.7
Feb 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,058.16",  5.4%,  4.8%,156.8
Mar 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,058.35",  0.0%,  1.4%,156.8
Apr 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,069.88",  0.6%,  2.1%,157.7
May 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,192.15",  5.9%,  1.1%,167.0
Jun 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,004.31", -8.6%, -2.9%,152.7
Jul 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,078.81",  3.7%,  5.6%,158.3
Aug 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,048.50", -1.5%,  3.7%,156.0
Sep 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,101.87",  2.6%,  6.4%,160.1
Oct 2024,Quebec,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$2,117.95",  0.8%,  6.3%,161.3
Jan 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  948.02,  0.4%,  2.5%,100.0
Feb 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  915.00, -3.5%, -1.8%, 96.5
Mar 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  937.85,  2.5%,  3.8%, 98.9
Apr 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  908.28, -3.2%, -3.2%, 95.8
May 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  933.63,  2.8%,  0.1%, 98.5
Jun 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  922.51, -1.2%, -2.0%, 97.3
Jul 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  949.41,  2.9%,  3.4%,100.1
Aug 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  931.13, -1.9%, -1.4%, 98.2
Sep 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  951.05,  2.1%, -0.3%,100.3
Oct 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  939.57, -1.2%, -0.2%, 99.1
Nov 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  928.83, -1.1%, -2.3%, 98.0
Dec 2011,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  927.39, -0.2%, -1.7%, 97.8
Jan 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  929.46,  0.2%, -2.0%, 98.0
Feb 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  940.84,  1.2%,  2.8%, 99.2
Mar 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  959.97,  2.0%,  2.4%,101.3
Apr 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  965.07,  0.5%,  6.3%,101.8
May 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  943.36, -2.2%,  1.0%, 99.5
Jun 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  936.18, -0.8%,  1.5%, 98.8
Jul 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  888.21, -5.1%, -6.4%, 93.7
Aug 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  952.35,  7.2%,  2.3%,100.5
Sep 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  944.91, -0.8%, -0.6%, 99.7
Oct 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  947.30,  0.3%,  0.8%, 99.9
Nov 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  940.39, -0.7%,  1.2%, 99.2
Dec 2012,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  914.22, -2.8%, -1.4%, 96.4
Jan 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  926.85,  1.4%, -0.3%, 97.8
Feb 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  937.99,  1.2%, -0.3%, 98.9
Mar 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  939.45,  0.2%, -2.1%, 99.1
Apr 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  955.92,  1.8%, -0.9%,100.8
May 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  960.77,  0.5%,  1.8%,101.3
Jun 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  953.82, -0.7%,  1.9%,100.6
Jul 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  941.67, -1.3%,  6.0%, 99.3
Aug 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  970.09,  3.0%,  1.9%,102.3
Sep 2013,Quebec,Average weekly earnings including overtime for all employees,Wholesale trade,$  937.89, -3.3%, -0.7%, 98.9
